day,date,population,total_wealth,average_happiness
2611,2032-02-26,200,0,0.0
2618,2032-03-04,200,0,0.0
2625,2032-03-11,200,0,0.0
2632,2032-03-18,200,0,0.0
2639,2032-03-25,200,0,0.0
2646,2032-04-01,200,0,0.0
2653,2032-04-08,200,0,0.0
2660,2032-04-15,200,0,0.0
2667,2032-04-22,200,0,0.0
2674,2032-04-29,200,0,0.0
2681,2032-05-06,200,0,0.0
2688,2032-05-13,200,0,0.0
2695,2032-05-20,200,0,0.0
2702,2032-05-27,200,0,0.0
2709,2032-06-03,200,0,0.0
2716,2032-06-10,200,0,0.0
2723,2032-06-17,200,0,0.0
2730,2032-06-24,200,0,0.0
2737,2032-07-01,200,0,0.0
2744,2032-07-08,200,0,0.0
2751,2032-07-15,200,0,0.0
2758,2032-07-22,200,0,0.0
2765,2032-07-29,200,0,0.0
2772,2032-08-05,200,0,0.0
2779,2032-08-12,200,0,0.0
2786,2032-08-19,200,0,0.0
2793,2032-08-26,200,0,0.0
2800,2032-09-02,200,0,0.0
2807,2032-09-09,200,0,0.0
2814,2032-09-16,200,0,0.0
2821,2032-09-23,200,0,0.0
2828,2032-09-30,200,0,0.0
2835,2032-10-07,200,0,0.0
2842,2032-10-14,200,0,0.0
2849,2032-10-21,200,0,0.0
2856,2032-10-28,200,0,0.0
2863,2032-11-04,200,0,0.0
2870,2032-11-11,200,0,0.0
2877,2032-11-18,200,0,0.0
2884,2032-11-25,200,0,0.0
2891,2032-12-02,200,0,0.0
2898,2032-12-09,200,0,0.0
2905,2032-12-16,200,0,0.0
2912,2032-12-23,200,0,0.0
2919,2032-12-30,200,0,0.0
2926,2033-01-06,200,0,0.0
2933,2033-01-13,200,0,0.0
2940,2033-01-20,200,0,0.0
2947,2033-01-27,200,0,0.0
2954,2033-02-03,200,0,0.0
2961,2033-02-10,200,0,0.0
2968,2033-02-17,200,0,0.0
2975,2033-02-24,200,0,0.0
2982,2033-03-03,200,0,0.0
2989,2033-03-10,200,0,0.0
2996,2033-03-17,200,0,0.0
3003,2033-03-24,200,0,0.0
3010,2033-03-31,200,0,0.0
3017,2033-04-07,200,0,0.0
3024,2033-04-14,200,0,0.0
3031,2033-04-21,200,0,0.0
3038,2033-04-28,200,0,0.0
3045,2033-05-05,200,0,0.0
3052,2033-05-12,200,0,0.0
3059,2033-05-19,200,0,0.0
3066,2033-05-26,200,0,0.0
3073,2033-06-02,200,0,0.0
3080,2033-06-09,200,0,0.0
3087,2033-06-16,200,0,0.0
3094,2033-06-23,200,0,0.0
3101,2033-06-30,200,0,0.0
3108,2033-07-07,200,0,0.0
3115,2033-07-14,200,0,0.0
3122,2033-07-21,200,0,0.0
3129,2033-07-28,200,0,0.0
3136,2033-08-04,200,0,0.0
3143,2033-08-11,200,0,0.0
3150,2033-08-18,200,0,0.0
3157,2033-08-25,200,0,0.0
3164,2033-09-01,200,0,0.0
3171,2033-09-08,200,0,0.0
3178,2033-09-15,200,0,0.0
3185,2033-09-22,200,0,0.0
3192,2033-09-29,200,0,0.0
3199,2033-10-06,200,0,0.0
3206,2033-10-13,200,0,0.0
3213,2033-10-20,200,0,0.0
3220,2033-10-27,200,0,0.0
3227,2033-11-03,200,0,0.0
3234,2033-11-10,200,0,0.0
3241,2033-11-17,200,0,0.0
3248,2033-11-24,200,0,0.0
3255,2033-12-01,200,0,0.0
3262,2033-12-08,200,0,0.0
3269,2033-12-15,200,0,0.0
3276,2033-12-22,200,0,0.0
3283,2033-12-29,200,0,0.0
3290,2034-01-05,200,0,0.0
3297,2034-01-12,200,0,0.0
3304,2034-01-19,200,0,0.0
3311,2034-01-26,200,0,0.0
3318,2034-02-02,200,0,0.0
3325,2034-02-09,200,0,0.0
3332,2034-02-16,200,0,0.0
3339,2034-02-23,200,0,0.0
3346,2034-03-02,200,0,0.0
3353,2034-03-09,200,0,0.0
3360,2034-03-16,200,0,0.0
3367,2034-03-23,200,0,0.0
3374,2034-03-30,200,0,0.0
3381,2034-04-06,200,0,0.0
3388,2034-04-13,200,0,0.0
3395,2034-04-20,200,0,0.0
3402,2034-04-27,200,0,0.0
3409,2034-05-04,200,0,0.0
3416,2034-05-11,200,0,0.0
3423,2034-05-18,200,0,0.0
3430,2034-05-25,200,0,0.0
3437,2034-06-01,200,0,0.0
3444,2034-06-08,200,0,0.0
3451,2034-06-15,200,0,0.0
3458,2034-06-22,200,0,0.0
3465,2034-06-29,200,0,0.0
3472,2034-07-06,200,0,0.0
3479,2034-07-13,200,0,0.0
3486,2034-07-20,200,0,0.0
3493,2034-07-27,200,0,0.0
3500,2034-08-03,200,0,0.0
3507,2034-08-10,200,0,0.0
3514,2034-08-17,200,0,0.0
3521,2034-08-24,200,0,0.0
3528,2034-08-31,200,0,0.0
3535,2034-09-07,200,0,0.0
3542,2034-09-14,200,0,0.0
3549,2034-09-21,200,0,0.0
3556,2034-09-28,200,0,0.0
3563,2034-10-05,200,0,0.0
3570,2034-10-12,200,0,0.0
3577,2034-10-19,200,0,0.0
3584,2034-10-26,200,0,0.0
3591,2034-11-02,200,0,0.0
3598,2034-11-09,200,0,0.0
3605,2034-11-16,200,0,0.0
3612,2034-11-23,200,0,0.0
3619,2034-11-30,200,0,0.0
3626,2034-12-07,200,0,0.0
3633,2034-12-14,200,0,0.0
3640,2034-12-21,200,0,0.0
3647,2034-12-28,200,0,0.0
